window_start,avg_entropy
1,0.758573
101,0.902428
201,0.608242
301,0.885555
401,0.591673
501,0.820242
601,0.659294
701,0.590721
801,0.618278
901,0.646430
1001,0.572300
1101,0.520979
1201,0.630465
1301,0.546961
1401,0.618137
1501,0.591985
1601,0.595247
1701,0.519536
1801,0.541344
1901,0.742817
2001,0.702535
2101,0.589171
2201,0.626095
2301,0.622534
2401,0.627425
2501,0.595101
2601,0.544785
2701,0.592728
2801,0.611883
2901,0.598378
3001,0.660723
3101,0.679318
3201,0.629485
3301,0.557693
3401,0.591673
3501,0.666799
3601,0.680428
3701,0.572798
3801,0.529919
3901,0.631323
4001,0.615559
4101,0.591673
4201,0.591673
4301,0.572763
4401,0.591673
4501,0.591673
4601,0.605935
4701,0.591673
4801,0.675247
4901,0.707432
5001,0.611703
5101,0.591673
5201,0.665697
5301,0.724393
5401,0.760109
5501,0.658380
5601,0.589667
5701,0.577857
5801,0.591673
5901,0.600597
6001,0.549738
6101,0.589423
6201,0.649511
6301,0.617768
6401,0.591673
6501,0.609019
6601,0.597472
6701,0.615623
6801,0.608755
6901,0.669532
7001,0.556637
7101,0.636587
7201,0.600574
7301,0.591673
7401,0.570713
7501,0.569182
7601,0.591673
7701,0.591673
7801,0.539677
7901,0.591673
8001,0.565764
8101,0.591673
8201,0.591673
8301,0.535294
8401,0.591673
8501,0.551454
8601,0.591673
8701,0.591673
8801,0.562173
8901,0.586639
9001,0.607978
9101,0.795378
9201,0.663966
9301,0.631935
9401,0.591673
9501,0.625103
9601,0.605782
9701,0.583289
9801,0.591673
9901,0.585909
10001,0.591827
10101,0.599410
10201,0.601729
10301,0.562299
10401,0.564206
10501,0.568944
10601,0.591673
10701,0.572914
10801,0.546916
10901,0.591673
11001,0.533078
11101,0.505020
11201,0.586840
11301,0.591673
11401,0.591673
11501,0.591673
11601,0.562933
11701,0.591673
11801,0.553343
11901,0.577750
12001,0.574467
12101,0.948260
12201,0.635435
12301,0.523322
12401,0.571412
12501,0.569642
12601,0.605240
12701,0.586778
12801,0.597449
12901,0.565331
13001,0.579327
13101,0.591673
13201,0.591673
13301,0.598870
13401,0.586580
13501,0.561655
13601,0.589136
13701,0.568519
13801,0.549676
13901,0.591673
14001,0.591673
14101,0.591673
14201,0.591673
14301,0.528007
14401,0.557680
14501,0.594561
14601,0.570284
14701,0.556961
14801,0.548452
14901,0.567631
15001,0.554797
15101,0.591673
15201,0.591673
15301,0.622285
15401,0.616668
15501,0.625056
15601,0.643646
15701,0.582062
15801,0.570656
15901,0.499074
16001,0.560205
16101,0.656887
16201,0.716306
16301,0.593407
16401,0.591673
16501,0.626113
16601,0.739080
16701,0.571373
16801,0.591673
16901,0.544981
17001,0.531454
17101,0.550071
17201,0.529355
17301,0.560531
17401,0.579494
17501,0.521616
17601,0.591673
17701,0.503493
17801,0.534523
17901,0.461227
18001,0.533733
18101,0.522191
18201,0.486653
18301,0.591673
18401,0.561033
18501,0.526197
18601,0.590702
18701,0.679618
18801,0.544582
18901,0.442801
19001,0.492124
19101,0.497687
19201,0.573923
19301,0.591673
19401,0.568529
19501,0.573923
19601,0.525454
19701,0.539053
19801,0.517112
19901,0.524824
20001,0.581205
20101,0.538075
20201,0.573923
20301,0.556517
20401,0.550358
20501,0.547996
20601,0.562353
20701,0.545682
20801,0.591673
20901,0.591673
21001,0.531946
21101,0.531087
21201,0.469951
21301,0.518062
21401,0.568838
21501,0.463030
21601,0.575307
21701,0.406831
21801,0.561744
21901,0.558663
22001,0.487077
22101,0.523794
22201,0.509698
22301,0.558542
22401,0.538847
22501,0.591673
22601,0.534013
22701,0.591673
22801,0.555131
22901,0.566764
23001,0.472203
23101,0.523414
23201,0.557513
