position,entropy
1,0.371232
2,0.371232
3,0.371232
4,0.371232
5,0.371232
6,0.371232
7,0.371232
8,0.371232
9,0.371232
10,0.371232
11,0.371232
12,0.371232
13,0.371232
14,0.371232
15,0.371232
16,0.371232
17,0.371232
18,0.371232
19,0.371232
20,0.371232
21,0.946373
22,0.749595
23,0.749595
24,0.946373
25,0.946373
26,0.749595
27,0.749595
28,0.749595
29,0.749595
30,0.591673
31,0.591673
32,0.591673
33,0.591673
34,0.591673
35,0.591673
36,0.591673
37,0.591673
38,0.749595
39,1.000000
40,1.287054
41,1.198117
42,1.287054
43,1.198117
44,1.287054
45,0.940286
46,1.198117
47,0.940286
48,1.483832
49,1.287054
50,1.287054
51,0.940286
52,1.287054
53,0.749595
54,0.749595
55,0.946373
56,0.946373
57,0.749595
58,0.749595
59,0.946373
60,0.946373
61,0.946373
62,0.946373
63,0.749595
64,0.749595
65,0.749595
66,0.946373
67,0.946373
68,0.749595
69,0.946373
70,0.749595
71,0.946373
72,0.946373
73,0.749595
74,0.749595
75,0.946373
76,0.749595
77,0.591673
78,0.591673
79,0.591673
80,0.591673
81,0.591673
82,0.591673
83,0.591673
84,0.591673
85,0.591673
86,0.591673
87,0.591673
88,0.591673
89,0.591673
90,0.591673
91,0.591673
92,0.591673
93,0.946373
94,1.287054
95,1.287054
96,1.198117
97,0.940286
98,0.940286
99,1.287054
100,1.287054
101,0.940286
102,1.287054
103,1.287054
104,0.940286
105,0.940286
106,0.940286
107,0.591673
108,0.591673
109,0.591673
110,0.591673
111,0.591673
112,0.591673
113,0.591673
114,0.591673
115,0.591673
116,0.591673
117,0.591673
118,0.940286
119,1.287054
120,0.940286
121,1.287054
122,1.287054
123,0.940286
124,0.940286
125,0.940286
126,0.940286
127,0.940286
128,0.591673
129,0.591673
130,0.591673
131,0.591673
132,0.591673
133,0.591673
134,0.591673
135,0.591673
136,0.591673
137,0.591673
138,0.591673
139,0.591673
140,0.591673
141,0.591673
142,0.591673
143,0.591673
144,0.591673
145,0.591673
146,0.591673
147,0.591673
148,0.591673
149,0.591673
150,0.591673
151,0.591673
152,0.591673
153,0.591673
154,0.591673
155,0.591673
156,0.591673
157,0.591673
158,0.591673
159,0.591673
160,0.591673
161,0.591673
162,0.940286
163,1.287054
164,1.263809
165,1.263809
166,1.263809
167,0.985228
168,1.610577
169,0.863121
170,0.863121
171,1.378783
172,1.664498
173,1.378783
174,1.287054
175,1.530619
176,0.940286
177,1.727397
178,1.530619
179,1.530619
180,0.940286
181,0.940286
182,0.940286
183,0.591673
184,0.591673
185,1.263809
186,1.530619
187,1.431560
188,0.940286
189,0.940286
190,1.431560
191,0.940286
192,1.431560
193,1.727397
194,1.263809
195,0.940286
196,0.940286
197,0.940286
198,1.431560
199,0.940286
200,1.431560
201,0.946373
202,0.749595
203,0.749595
204,0.749595
205,0.749595
206,0.946373
207,0.749595
208,0.749595
209,0.591673
210,0.591673
211,0.591673
212,0.591673
213,0.591673
214,0.591673
215,0.591673
216,0.591673
217,0.591673
218,0.591673
219,0.591673
220,0.591673
221,0.591673
222,0.591673
223,0.591673
224,0.591673
225,0.591673
226,0.591673
227,0.591673
228,0.591673
229,0.591673
230,0.591673
231,0.591673
232,0.591673
233,0.591673
234,0.591673
235,0.591673
236,0.591673
237,0.591673
238,0.591673
239,0.591673
240,0.591673
241,0.591673
242,0.591673
243,0.591673
244,0.591673
245,0.591673
246,0.591673
247,0.591673
248,0.591673
249,0.591673
250,0.591673
251,0.591673
252,0.591673
253,0.591673
254,0.591673
255,0.591673
256,0.591673
257,0.591673
258,0.591673
259,0.591673
260,0.591673
261,0.591673
262,0.591673
263,0.591673
264,0.591673
265,0.591673
266,0.591673
267,0.591673
268,0.591673
269,0.591673
270,0.591673
271,0.591673
272,0.591673
273,0.591673
274,0.591673
275,0.591673
276,0.591673
277,0.591673
278,0.591673
279,0.591673
280,0.591673
281,0.591673
282,0.591673
283,0.591673
284,0.591673
285,0.591673
286,0.591673
287,0.591673
288,0.591673
289,0.591673
290,0.591673
291,0.591673
292,0.591673
293,0.591673
294,0.591673
295,0.591673
296,0.591673
297,0.591673
298,0.591673
299,0.591673
300,0.591673
301,0.591673
302,0.591673
303,0.591673
304,0.591673
305,0.591673
306,0.591673
307,0.591673
308,0.591673
309,0.591673
310,0.591673
311,0.591673
312,0.591673
